,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
23,-451.3475646972656,227.33470153808594,38.26917266845703,-25.752225875854492,-2.923997163772583,-0.5971764326095581,-15.966099739074707,-14.492856979370117,-9.127018928527832,-6.674286842346191,1.6497743129730225,6.064972877502441,-1.737164855003357,-9.776307106018066,-10.839242935180664,-11.020076751708984,-12.28374195098877,-9.133218765258789,-0.6252492070198059,4.913118362426758,528.2551575,529.9824524,531.4296722,531.3308334,531.3308334,533.058815,532.4362564,534.4740677,534.3562317,537.8071594,537.8071594,536.302948,533.9200211,528.8999557,617.8751755,520.6095123,520.6095123,513.4238052,512.0376205,511.9514084,505.6842422,495.3775406,495.3775406,497.4675369,501.7379761,503.1678772,503.4766769,502.3923492,502.3923492,501.9700241
24,-402.43548583984375,239.1013641357422,15.334219932556152,-32.372703552246094,4.8430938720703125,-3.8678231239318848,-20.474346160888672,-10.673076629638672,-7.65852165222168,-16.658096313476562,-16.68619728088379,-9.068592071533203,-7.438230991363525,-10.855530738830566,-9.426636695861816,-4.373653888702393,-1.7067734003067017,1.9115842580795288,7.550660610198975,7.95759391784668,502.3060608,502.0075607,501.3134766,500.6653976,500.6653976,500.93647,500.1673126,499.210968,500.8173752,501.5343475,501.5343475,501.1961746,502.023468,502.4923706,501.791687,501.4349365,501.4349365,501.2306213,501.354866,500.2960968,500.1227951,499.5215988,499.5215988,690.0241852,499.5607758,686.644516,683.7689972,497.3158646,497.3158646,493.3286285
25,-431.69390869140625,236.71556091308594,25.366567611694336,-33.54642868041992,-0.06031130626797676,-0.6874901056289673,-16.60195541381836,-10.056286811828613,-8.047327041625977,-14.507696151733398,-8.549715995788574,-0.7666434645652771,-5.339694499969482,-10.960881233215332,-9.754715919494629,-7.617234706878662,-6.350991249084473,-3.637525796890259,-1.0933235883712769,-0.9250527620315552,493.4714508,498.2688904,657.6878357,649.8799133,649.8799133,646.6210938,643.6645508,646.3601685,474.2330551,467.2108459,467.2108459,458.7327576,451.5613174,446.0164261,441.078186,441.5610123,441.5610123,441.5113068,441.4217377,670.0754547,712.0400238,440.7224274,440.7224274,698.9453888,439.7797394,441.5498352,445.998764,446.1408234,446.1408234,447.9242706
26,-416.66180419921875,240.39527893066406,24.50581169128418,-28.642751693725586,-1.8883037567138672,-8.029611587524414,-19.12131690979004,-12.519091606140137,-12.706310272216797,-15.992079734802246,-7.8994035720825195,-1.151583194732666,-2.50071120262146,-1.578809380531311,-1.8208523988723755,-7.050876617431641,-9.188697814941406,-8.1920166015625,-5.692597389221191,-0.022741712629795074,443.0104828,715.0669098,441.4350891,442.0046616,442.0046616,437.3681259,720.9468842,727.7095032,731.4847565,440.6412888,440.6412888,441.6235733,442.6437759,440.5921173,433.7417603,430.9612656,430.9612656,430.748024,433.1380463,438.358345,715.0987244,710.1937103,710.1937103,709.0498352,708.179245,709.4565582,704.6408844,692.7398682,692.7398682,438.2271957
27,-380.3322448730469,232.60647583007812,25.01235580444336,-33.18619918823242,-5.97584342956543,-7.408422946929932,-17.17127227783203,-7.389520168304443,-3.3516221046447754,-8.69788932800293,-4.540027141571045,3.5792205333709717,0.26089856028556824,-8.802462577819824,-12.283283233642578,-10.95897388458252,-7.733332633972168,-3.319486379623413,0.2795513868331909,1.0574780702590942,669.6225739,431.0072327,432.6376343,433.374176,433.374176,436.7406464,439.3062592,443.6388016,681.5139771,683.9173889,683.9173889,681.3813782,681.6191101,683.6484528,686.0162354,686.190567,686.190567,440.9778595,686.532135,687.4245453,687.2861481,685.6672668,685.6672668,684.9635315,686.931076,687.0585632,685.4927826,686.3025665,686.3025665,686.643219
28,-393.3169860839844,239.24110412597656,21.81598663330078,-32.081329345703125,1.0514687299728394,-3.0143799781799316,-14.168774604797363,-7.144785404205322,-9.076139450073242,-8.767900466918945,3.543698310852051,3.7795960903167725,-7.347397327423096,-11.43820858001709,-11.484258651733398,-11.605329513549805,-8.598031044006348,-5.648738384246826,-3.290463924407959,-0.5227303504943848,684.5451355,684.7570801,687.3446655,686.1979675,686.1979675,686.3124084,685.9310913,686.3508606,687.7819061,688.1951141,688.1951141,688.4553528,688.8793945,687.9270172,687.0298767,686.8779755,686.8779755,688.6649323,688.2515717,687.9076385,689.6852875,687.9051971,687.9051971,688.2609558,690.8601379,691.7040253,694.8426056,696.0214996,696.0214996,456.1692047
29,-413.12139892578125,231.00367736816406,21.11020851135254,-36.45935821533203,-6.094043254852295,-6.796388149261475,-18.032276153564453,-9.049053192138672,-4.02031946182251,-1.663012981414795,10.040091514587402,11.268446922302246,-3.797916889190674,-12.382344245910645,-10.128645896911621,-9.643622398376465,-10.70582103729248,-8.090255737304688,-2.9882588386535645,0.7460107207298279,444.6679688,441.0065842,436.4900208,439.131012,439.131012,440.5751419,440.1302719,436.213913,440.6998444,449.3942261,449.3942261,454.3616104,457.5280762,663.303299,665.545578,666.8439484,666.8439484,666.6784668,665.9575653,665.923233,667.5221252,667.9292297,667.9292297,666.9126129,666.7317963,669.0317535,669.2848969,667.5642395,667.5642395,474.4265747
30,-453.1460876464844,225.57130432128906,43.5261116027832,-27.25473403930664,-16.03940773010254,-15.979700088500977,-23.735549926757812,-12.072327613830566,-0.9484074115753174,-3.3438608646392822,-3.8871428966522217,1.8894414901733398,2.1539275646209717,-4.993515491485596,-9.906046867370605,-9.295135498046875,-7.944571018218994,-6.2936625480651855,-1.3584195375442505,4.568044185638428,670.4820251,671.318512,672.545166,481.5979385,481.5979385,484.8207855,489.8408127,500.2020645,506.8412018,508.4312057,508.4312057,509.3664169,509.6839523,511.8323898,514.128418,513.2706833,513.2706833,512.7275467,512.6111221,513.984375,514.1359711,514.4425583,514.4425583,512.881012,512.5501251,681.6868591,681.1476135,680.9934235,680.9934235,678.22258
31,-502.43157958984375,218.46719360351562,47.17113494873047,-24.682353973388672,-16.84818458557129,-14.667015075683594,-21.275440216064453,-13.463120460510254,-7.030697822570801,-10.37757682800293,-7.542846202850342,4.37600564956665,12.478278160095215,11.500606536865234,5.4651265144348145,-0.45307567715644836,-3.1039323806762695,-3.19071626663208,-2.5007545948028564,-0.9168307185173035,674.8740387,673.94104,671.8027496,669.488678,669.488678,666.9922638,666.088028,664.8403168,663.2873535,662.9264069,662.9264069,663.5505676,662.0056152,662.0401001,661.7041779,661.2480927,661.2480927,661.5296936,662.0172119,662.5274658,663.8208008,664.9538422,664.9538422,663.9376068,664.8223114,666.2702179,666.6836548,666.0733032,666.0733032,666.110611
32,-476.8080139160156,217.84071350097656,34.114219665527344,-25.04843521118164,-5.365695476531982,-10.462201118469238,-25.049636840820312,-15.097201347351074,-7.190722942352295,-14.414295196533203,-12.462774276733398,4.537011623382568,15.242863655090332,11.929819107055664,6.751688003540039,3.2903499603271484,-4.360846042633057,-11.435667037963867,-8.700432777404785,1.3489961624145508,666.2477875,665.6993866,666.6255188,665.9923553,665.9923553,664.462204,668.7593079,674.4052887,676.4354706,451.2445831,451.2445831,443.2611465,440.9095764,436.2041092,433.9479828,445.6879425,445.6879425,437.8730011,443.9937592,444.9595261,444.6879196,445.9844589,445.9844589,668.7844849,444.6694565,443.3927155,444.1968536,664.1378021,664.1378021,442.1939468
